单词,词性,释义,等级,真题原句,原句译文,上文,下文,题目情境,原题,原题译文,年份,套次,题型,篇目,出现次数
like,prep./v.,"★像,如同；喜欢；想要",A 基础高频,"In such circumstances, a familiar job where the rules are known feels less like a trap and more like a form of security.",在这种情况下，一份规则清楚的熟悉工作，感觉就不像牢笼，而像一种安全感。,"Many describe a working environment that has become unpredictable: projects appear without warning, meetings are scheduled late in the evening, and the boundary between work and private life has almost disappeared.",Employers who assume that money is the only factor misunderstand what has changed.,仔细阅读：为什么年轻人越来越不愿换工作,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2023年3月,第1套,仔细阅读,Passage One,8
like,prep./v.,"★像,如同；喜欢；想要",A 基础高频,"Psychologists suggest that users should treat online activity like any other part of their diet: a moderate amount, chosen deliberately, is far healthier than an endless stream of whatever appears on the screen.",心理学家建议，用户应当像对待饮食里的其他部分一样对待线上活动：有节制、经过选择的量，比屏幕上无休止涌来的东西要健康得多。,"The problem, then, is not the technology itself but the habits it encourages.",,仔细阅读：社交媒体是否真的让人更孤独,50. What is the main idea of the passage?,这篇文章的主旨是什么？,2024年6月,第1套,仔细阅读,Passage Two,8
like,prep./v.,"★像,如同；喜欢；想要",A 基础高频,"Consequently, all human body functions also follow this daily rhythm, and the timing of behaviors like exercise or food intake can significantly influence your health.",因此，人体所有的机能也都遵循这种日常节律，而运动、进食这类行为发生的时机，会对你的健康产生显著影响。,This cycle is the reason why people rest at night and are active during the day.,"For example, eating at night can lead to weight gain over time because food intake at night leads to increased fat storage.",仔细阅读：昼夜节律如何影响健康与服药效果（正文来源 H）,,,2025年12月,第1套,仔细阅读,Passage One（昼夜节律）,8
once,adv./conj.,★一次；曾经；一旦,A 基础高频,Buying second-hand goods was once regarded as a sign that a family could not afford new things.,买二手货曾经被看作是一个家庭买不起新东西的标志。,,"Attitudes have changed with remarkable speed, and young consumers in particular now describe it as a sensible choice rather than a necessary one.",段落匹配：二手交易平台的兴起,36. Buying used goods has become socially acceptable among young people.,买二手商品在年轻人中已经变得社会可接受。,2021年12月,第1套,长篇阅读,Second-hand Markets,8
once,adv./conj.,★一次；曾经；一旦,A 基础高频,"What is certain is that transport and electricity, which were once separate industries, are now becoming parts of a single problem.",可以肯定的是，运输和电力这两个曾经互不相干的行业，如今正变成同一个问题的两个部分。,"The technology works, but the regulations and the pricing systems needed to support it are still under discussion.",,段落匹配：电动汽车普及对电网的影响,36. Electric cars put extra pressure on the power grid.,电动汽车给电网带来了额外压力。,2022年6月,第1套,长篇阅读,Electric Cars and the Power Grid,8
once,adv./conj.,★一次；曾经；一旦,A 基础高频,"The sharing economy was once described as the future of consumption, and in a few years it has indeed transformed the way many people travel and rent accommodation.",共享经济一度被描述为消费的未来，几年之内它确实改变了许多人的出行和租房方式。,,"Bike-sharing schemes, in particular, expanded with extraordinary speed: companies placed millions of bicycles on the streets of cities that had no infrastructure for them, and for a while the pavements were blocked by machines nobody was using.",段落匹配：共享单车与共享经济的发展与问题,36. Shared bicycles were introduced into many cities at once.,共享单车几乎同时进入了许多城市。,2023年12月,第1套,长篇阅读,The Sharing Economy,8
own,adj./v.,★自己的；拥有；承认,A 基础高频,Doctors also report that some patients speak more frankly in their own living rooms than they do in a consulting room.,医生还反映，有些病人在自家客厅里说得比在诊室里更坦率。,"For routine matters, such as renewing a prescription or discussing test results, the telephone or a video call is clearly sufficient, and it saves both the patient and the hospital a great deal of time.",Yet there are limits that no improvement in video quality will remove.,仔细阅读：远程医疗能否替代面对面就诊,50. What is the author's view on telemedicine?,作者对远程医疗的看法是什么？,2022年12月,第1套,仔细阅读,Passage Two,8
own,adj./v.,★自己的；拥有；承认,A 基础高频,"Defenders of the medium reply that short videos have their own value: they can spread knowledge quickly, and a well-made clip can explain a difficult concept more clearly than a page of prose.",为这种媒介辩护的人回应说，短视频自有其价值：它能快速传播知识，一个制作精良的短片能把难懂的概念讲得比一页文字更清楚。,"Teachers report that some students now find it difficult to concentrate for more than a few minutes, and that they abandon a text as soon as it stops being immediately interesting.","The research, however, suggests a distinction.",仔细阅读：短视频流行对阅读习惯的冲击,46. What is the passage mainly concerned with?,这篇文章主要关注什么？,2023年6月,第1套,仔细阅读,Passage One,8
own,adj./v.,★自己的；拥有；承认,A 基础高频,"Users who compare their ordinary lives with the carefully selected images posted by others often conclude that their own lives are inadequate, and this feeling can persist long after they close the application.",拿自己平常的生活与别人精心挑选后发布的照片作比较的用户，常常得出自己的生活不够好的结论，而这种感觉在他们关掉应用后还会持续很久。,A second factor is expectation.,"The problem, then, is not the technology itself but the habits it encourages.",仔细阅读：社交媒体是否真的让人更孤独,50. What is the main idea of the passage?,这篇文章的主旨是什么？,2024年6月,第1套,仔细阅读,Passage Two,8
percent,n.,★百分比,A 基础高频,A label that announces fifty percent off does something strange to the human mind.,一张写着五折的标签，会对人的心智产生奇怪的作用。,,"Shoppers who would ignore an item at its original price suddenly want it, not because they need it but because they feel they would be foolish to miss the opportunity.",仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,8
percent,n.,★百分比,A 基础高频,"When a forecast states that there is a thirty percent chance of rain, many listeners interpret this as a promise that it will not rain, and feel cheated if it does.","当预报说有百分之三十的概率下雨时，许多听众把它理解成""不会下雨""的承诺，一旦下了雨就觉得被骗了。","Yet surveys repeatedly show that a large part of the public does not trust the forecast, and the reasons have less to do with science than with communication.","Scientists, meanwhile, mean something precise: that under similar conditions in the past, it rained three times out of ten.",仔细阅读：天气预报越来越准，人们却越来越不信,50. What is the passage mainly about?,这篇文章主要讲什么？,2023年3月,第1套,仔细阅读,Passage Two,8
percent,n.,★百分比,A 基础高频,"In the year after the bike lanes arrived, businesses on Skillman saw sales rise by 12 percent.",自行车道修好之后的那一年，Skillman 沿街商户的营业额上升了百分之十二。,"For others, the pushback is cultural, says Henry Grabar, a writer for the Slate Magazine.","What is more, that section of road saw new businesses open.",段落匹配：纽约皇后区自行车道之争与沿街生意的变化（答案 36-40 EKCOG，41-45 DLJAH；正文来源 G，定位句来源 F）,,,2025年12月,第1套,长篇阅读,The Battle over Bike Lanes,8
plastic,n./adj.,★塑料；塑料制品；塑胶的；可塑的；造作的,A 基础高频,Plastic pollution has moved from the edge of public discussion to the centre of it.,塑料污染已经从公众讨论的边缘走到了中心。,,"For years the problem seemed remote, something that happened on distant beaches and in the stomachs of seabirds.",仔细阅读：塑料污染与消费者行为的改变,46. What does the author say about plastic pollution?,关于塑料污染，作者说了什么？,2024年6月,第1套,仔细阅读,Passage One,8
plastic,n./adj.,★塑料；塑料制品；塑胶的；可塑的；造作的,A 基础高频,"A single order typically arrives with a plastic container, a paper bag, a set of disposable chopsticks and several small packets of sauce, most of which are used for a few minutes and then thrown away.",一份订单通常送到一个塑料盒、一个纸袋、一套一次性筷子和几小包调料，其中大部分用上几分钟就被扔掉。,"The rapid growth of food delivery has created an enormous amount of packaging waste, and cities are struggling to deal with it.",Environmental groups estimate that the volume of this waste has increased several times over in the past five years.,段落匹配：外卖行业带来的包装垃圾问题,37. A single order can use several plastic containers.,一份订单可能要用掉好几个塑料容器。,2023年3月,第1套,长篇阅读,Food Delivery and Packaging Waste,8
plastic,n./adj.,★塑料；塑料制品；塑胶的；可塑的；造作的,A 基础高频,A recent survey has measured the impact of the plastic bag ban that the city introduced one year ago.,最近的一项调查衡量了该市一年前实施的塑料袋禁令所产生的效果。,,Researchers questioned more than two thousand residents and found that a large proportion of them had gradually changed their shopping habits.,新闻：某市实施限塑令一年后的调查结果与居民反应,1. What is the news report mainly about?,这则新闻主要讲了什么？,2024年6月,第1套,听力,News Report One,8
produce,v./n.,★生产；产生；拿出；农产品,A 基础高频,"A discount that ends tonight produces a mild panic, and panic is a poor adviser: it shifts attention from the question ""do I want this?","今晚就结束的折扣会引发轻微的恐慌，而恐慌是个糟糕的顾问：它把注意力从""我想要这个吗""转移到""不买会不会后悔""。",The feeling of scarcity intensifies the effect.,"to the question ""will I regret leaving it? People are not irrational to enjoy a bargain.",仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,8
produce,v./n.,★生产；产生；拿出；农产品,A 基础高频,"A story about an ordinary event produces no desire to share it, while a story that seems incredible demands an audience.",一件平常事不会产生分享的欲望，而一个听起来不可思议的故事却非要有人听不可。,"It is that a rumour is usually more surprising than the truth, and surprise is what makes something worth passing on.","Researchers measured this by comparing how novel each message was, and found that falsehoods were consistently rated as more unexpected.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,8
produce,v./n.,★生产；产生；拿出；农产品,A 基础高频,Students who delay an assignment are not usually lazy; they are avoiding the unpleasant feeling that the task produces.,拖延作业的学生通常并不懒，他们是在逃避这项任务带来的不愉快感受。,"Procrastination is often described as a failure of time management, but psychologists argue that it is really a failure of mood management.","Unfortunately, the relief they obtain is temporary, and the anxiety returns with greater force as the deadline approaches.",选词填空：拖延行为的心理原因,26. What do psychologists say about procrastination?,心理学家认为拖延是回避不愉快情绪的一种方式。,2021年12月,第1套,选词填空,Procrastination,8
since,conj./prep./adv.,"★因为,既然；自从…以来；此后",A 基础高频,"For decades, the standard advice given to ambitious young workers was to change jobs every few years, since moving was the fastest way to raise a salary.",几十年来，给有抱负的年轻人的标准建议是每隔几年换一次工作，因为跳槽是涨薪最快的途径。,,Recent surveys suggest that the mood has shifted.,仔细阅读：为什么年轻人越来越不愿换工作,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2023年3月,第1套,仔细阅读,Passage One,8
since,conj./prep./adv.,"★因为,既然；自从…以来；此后",A 基础高频,"Another useful strategy is to forgive oneself for previous delays, since guilt tends to produce further delay rather than renewed effort.",另一个有用的策略是原谅自己此前的拖延，因为内疚往往带来更多拖延，而不是重新努力。,Researchers have found that the most effective remedy is not a stricter schedule but a smaller first step: students who were asked merely to open the document and write one sentence frequently continued for an hour.,"Lecturers can help by dividing large projects into parts that must be submitted separately, which removes the possibility of leaving everything until the last week.",选词填空：拖延行为的心理原因,26. What do psychologists say about procrastination?,心理学家认为拖延是回避不愉快情绪的一种方式。,2021年12月,第1套,选词填空,Procrastination,8
since,conj./prep./adv.,"★因为,既然；自从…以来；此后",A 基础高频,"Online platforms have removed the inconvenience that once made second-hand shopping slow and uncertain, since buyers can now compare prices and check the reputation of a seller within seconds.",线上平台消除了过去让二手交易又慢又没把握的不便，因为买家现在几秒钟内就能比价、查看卖家的信誉。,Several factors explain the shift.,Environmental concerns play a part as well: customers who would not describe themselves as activists still feel uneasy about throwing away objects that others could use.,段落匹配：二手交易平台的兴起,36. Buying used goods has become socially acceptable among young people.,买二手商品在年轻人中已经变得社会可接受。,2021年12月,第1套,长篇阅读,Second-hand Markets,8
tasks,n.,★任务；作业(task 的复数),A 基础高频,"In one study, pupils who were told they were clever after solving a simple puzzle later chose easier tasks, apparently because they wished to protect the reputation they had just been given.","在一项研究中，因解出一道简单谜题而被夸""聪明""的学生，后来选择了更简单的任务，显然是想保护刚刚获得的那个名声。",Yet a series of experiments suggests that the wrong kind of praise can make children more fragile rather than more confident.,"Pupils who were praised for the method they used, or for the effort they had made, behaved in the opposite way: they selected harder problems and persisted longer when the work became difficult.",仔细阅读：赞美的效果为什么常常适得其反,46. What is the main idea of the passage?,这篇文章的主旨是什么？,2022年6月,第1套,仔细阅读,Passage One,8
tasks,n.,★任务；作业(task 的复数),A 基础高频,"As services move online, older citizens are finding it harder to carry out ordinary tasks.",随着各种服务搬到线上，老年公民发现连办普通的事都变难了。,,"Booking a hospital appointment, paying a bill or even buying a ticket may now require a smartphone and a certain amount of patience.",段落匹配：老年人面临的数字鸿沟,36. Public services are increasingly moving online.,公共服务越来越多地搬到线上办理。,2023年6月,第1套,长篇阅读,The Digital Divide among Older People,8
tasks,n.,★任务；作业(task 的复数),A 基础高频,"Researchers note that the arrangement does not suit every industry, and that some tasks simply require people to cooperate face to face.",研究人员指出，这种安排并不适合所有行业，有些工作确实需要人们面对面协作。,"Yet a significant number report feeling isolated, and managers complain that it is harder to train new staff when nobody is in the same room.",,段落匹配：远程办公如何改变城市、通勤与家庭生活,43. Some tasks still require face-to-face cooperation.,有些工作仍需面对面协作。,2024年6月,第1套,长篇阅读,Remote Work and City Life,8
technology,n.,"★技术,工艺；科技",A 基础高频,"The problem, then, is not the technology itself but the habits it encourages.",所以问题不在技术本身，而在它所助长的习惯。,"Users who compare their ordinary lives with the carefully selected images posted by others often conclude that their own lives are inadequate, and this feeling can persist long after they close the application.","Psychologists suggest that users should treat online activity like any other part of their diet: a moderate amount, chosen deliberately, is far healthier than an endless stream of whatever appears on the screen.",仔细阅读：社交媒体是否真的让人更孤独,50. What is the main idea of the passage?,这篇文章的主旨是什么？,2024年6月,第1套,仔细阅读,Passage Two,8
technology,n.,"★技术,工艺；科技",A 基础高频,None of this means that technology should be banned from the classroom.,这些都不意味着应该把技术赶出教室。,"Teachers who have observed the difference say that pupils also compose more carefully when they write slowly, because they cannot delete a sentence as easily as they can on a computer.","It suggests instead that handwriting deserves a place alongside it, particularly in the early years when children are still learning to shape their thoughts.",选词填空：手写是否还有价值,26. Why do some researchers study handwriting?,一些研究者研究手写，是为了看大脑对手写的反应。,2023年3月,第1套,选词填空,The Value of Handwriting,8
technology,n.,"★技术,工艺；科技",A 基础高频,"The technology works, but the regulations and the pricing systems needed to support it are still under discussion.",技术上可行，但支撑它的法规和定价体系仍在讨论之中。,Some researchers go further and propose that cars should be able to sell electricity back to the grid during periods of high demand.,"What is certain is that transport and electricity, which were once separate industries, are now becoming parts of a single problem.",段落匹配：电动汽车普及对电网的影响,36. Electric cars put extra pressure on the power grid.,电动汽车给电网带来了额外压力。,2022年6月,第1套,长篇阅读,Electric Cars and the Power Grid,8
visitor,n.,"★参观者,访问者；游客；来访者",A 基础高频,"A modest fee may seem harmless, but research consistently shows that it discourages precisely the visitors that public funding was intended to attract: families with low incomes, students, and people who have never visited a museum before and are unsure whether they would enjoy it.",不算高的票价看起来无伤大雅，但研究一致表明，它劝退的恰恰是公共资金本想吸引的那批访客：低收入家庭、学生，以及那些从未进过博物馆、不确定自己会不会喜欢的人。,"When a museum charges for admission, it sends a message about who the institution is for.","Countries that abolished entrance fees recorded a sharp increase in visitors, and, crucially, the new visitors were not the usual audience.",仔细阅读：为什么博物馆应该免费开放,50. What is the author's main argument?,作者的主要论点是什么？,2023年6月,第1套,仔细阅读,Passage Two,8
visitor,n.,"★参观者,访问者；游客；来访者",A 基础高频,"Since the new schedule began, evening visits have grown steadily, and the majority of these visitors are young people preparing for examinations.",新时间表实行以来，晚间到馆人数稳步增长，其中大多数是准备考试的年轻人。,"The librarian explained that the idea came from a survey in which local residents repeatedly mentioned the same obstacle: by the time they finished work, the library had already closed.","The library has also started a small reading group that meets on Friday evenings, and participants say the discussion helps them understand books they would have abandoned on their own.",新闻：一个社区图书馆的夜间开放计划,1. What is the report mainly about?,这则报道主要讲什么？,2022年6月,第1套,听力,News Report One,8
visitor,n.,"★参观者,访问者；游客；来访者",A 基础高频,"City officials say the park now attracts thousands of visitors every weekend, and that small businesses near the entrances have reported a noticeable increase in income.",市政官员说，这个公园现在每个周末吸引数千名游客，入口附近的小商家也反映收入明显增加。,"The project cost relatively little, because the track and the bridges were already in place; workers mainly removed the waste and planted trees along the route.","Similar projects in other countries suggest that the benefits last: once a green space is established, the surrounding neighbourhood tends to become more attractive to residents and investors alike.",新闻：一座城市把废弃铁路改造成公园,1. What is the report mainly about?,这则报道主要讲什么？,2023年6月,第1套,听力,News Report One,8
well,adv./adj./int./n./v.,"★好,令人满意地；完全地；详细地；健康的；良好的；井；源泉；涌出",A 基础高频,Those who persist often report an unexpected benefit: their understanding of their own language improves as well.,坚持下去的人常常报告一个意外的收获：他们对母语的理解也变好了。,"Teachers who work with adults recommend short daily sessions rather than long weekly classes, and they emphasise that progress becomes visible only after several months of consistent effort.",,选词填空：成年人学外语的困难与方法,26. What makes adult language learners different from children?,成年人比儿童更害怕犯错。,2022年6月,第1套,选词填空,Learning a Second Language,8
well,adv./adj./int./n./v.,"★好,令人满意地；完全地；详细地；健康的；良好的；井；源泉；涌出",A 基础高频,Environmental concerns play a part as well: customers who would not describe themselves as activists still feel uneasy about throwing away objects that others could use.,环保顾虑也起了作用：那些不会自称环保人士的顾客，仍然对把别人还能用的东西扔掉感到不安。,"Online platforms have removed the inconvenience that once made second-hand shopping slow and uncertain, since buyers can now compare prices and check the reputation of a seller within seconds.","Sellers, for their part, discover that items occupying space in their flats can be converted into cash.",段落匹配：二手交易平台的兴起,36. Buying used goods has become socially acceptable among young people.,买二手商品在年轻人中已经变得社会可接受。,2021年12月,第1套,长篇阅读,Second-hand Markets,8
well,adv./adj./int./n./v.,"★好,令人满意地；完全地；详细地；健康的；良好的；井；源泉；涌出",A 基础高频,"Recorded lectures work reasonably well for students who are disciplined and have a quiet place to study, but they fail precisely where schools matter most: with children who need encouragement, structure and someone to notice when they have stopped understanding.",录播课对自律、又有安静地方学习的学生还算管用，但它恰恰在学校最关键的地方失灵了：那些需要鼓励、需要有人管束、需要有人发现他们已经听不懂的孩子。,"A few years later, the assessment is more modest.","Teachers report that attendance in online classes is easy to fake, since a student can log in and leave the room.",段落匹配：在线教育的遗产与局限,36. Online education expanded very quickly during the pandemic.,疫情期间在线教育扩张得非常快。,2022年12月,第1套,长篇阅读,Online Education after the Pandemic,8
without,prep.,"★没有,无；在没有…的情况下；如果不",A 基础高频,"There is also the question of who is excluded: elderly patients without a smartphone, and those whose hearing or sight makes a screen impractical, are precisely the people who need medical attention most.","还有一个""谁被排除在外""的问题：没有智能手机的老年患者，以及视力听力让他们用不了屏幕的人，恰恰是最需要医疗关注的群体。","A physician cannot examine an abdomen, feel a lump or observe how a patient walks down a corridor through a screen, and these physical signs are often what reveal a serious condition.","The reasonable conclusion is that telemedicine works best as an addition to the health service rather than a substitute for it, handling the simple cases so that the difficult ones receive the time they require.",仔细阅读：远程医疗能否替代面对面就诊,50. What is the author's view on telemedicine?,作者对远程医疗的看法是什么？,2022年12月,第1套,仔细阅读,Passage Two,8
without,prep.,"★没有,无；在没有…的情况下；如果不",A 基础高频,"Many describe a working environment that has become unpredictable: projects appear without warning, meetings are scheduled late in the evening, and the boundary between work and private life has almost disappeared.",许多人描述的工作环境变得难以预测：项目说来就来，会议安排在深夜，工作与私人生活之间的界限几乎消失。,Their reasons are revealing.,"In such circumstances, a familiar job where the rules are known feels less like a trap and more like a form of security.",仔细阅读：为什么年轻人越来越不愿换工作,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2023年3月,第1套,仔细阅读,Passage One,8
without,prep.,"★没有,无；在没有…的情况下；如果不",A 基础高频,"With those born with natural talents, it feels as if they excel without really trying.",那些天生有才华的人，似乎不费吹灰之力就能出类拔萃。,,They seem to outdo others without hard work.,仔细阅读：天生有才华的人看似毫不费力就能胜出（答案 51-55 ACBDB；来源 A。首句为原文，其后五句为已公布的正确选项原文，非正文）,,,2025年6月,第1套,仔细阅读,Passage Two（天赋）,8
activity,n.,★活动；活跃；行动,A 基础高频,"When a reserve is created, those residents may suddenly find that the activities which fed their families are now forbidden, while the animals they were asked to protect destroy their crops.",保护区一设立，这些居民可能突然发现，养活一家人的营生现在被禁止了，而他们被要求保护的动物却毁了他们的庄稼。,"Nature reserves are usually drawn on maps as if the land were empty, but in most cases people have lived on it for generations.","Unsurprisingly, resentment follows, and in several countries poaching increased after protection was introduced.",仔细阅读：野生动物保护区与当地居民的利益冲突,50. What does the author suggest?,作者的建议是什么？,2021年12月,第1套,仔细阅读,Passage Two,7
activity,n.,★活动；活跃；行动,A 基础高频,"Psychologists warn that repeated exposure to this pattern trains the brain to expect constant novelty, which makes slower activities, such as reading a book or listening to a lecture, feel uncomfortable by comparison.",心理学家警告说，反复接触这种模式会训练大脑期待持续的新鲜感，相比之下，读书或听讲座这类较慢的活动就会让人觉得不舒服。,"Short videos have become the dominant form of online entertainment, and their appeal is easy to explain: they require almost no effort, they deliver a reward within seconds, and the next one begins before you have decided whether you want it.","Teachers report that some students now find it difficult to concentrate for more than a few minutes, and that they abandon a text as soon as it stops being immediately interesting.",仔细阅读：短视频流行对阅读习惯的冲击,46. What is the passage mainly concerned with?,这篇文章主要关注什么？,2023年6月,第1套,仔细阅读,Passage One,7
activity,n.,★活动；活跃；行动,A 基础高频,"Psychologists suggest that users should treat online activity like any other part of their diet: a moderate amount, chosen deliberately, is far healthier than an endless stream of whatever appears on the screen.",心理学家建议，用户应当像对待饮食里的其他部分一样对待线上活动：有节制、经过选择的量，比屏幕上无休止涌来的东西要健康得多。,"The problem, then, is not the technology itself but the habits it encourages.",,仔细阅读：社交媒体是否真的让人更孤独,50. What is the main idea of the passage?,这篇文章的主旨是什么？,2024年6月,第1套,仔细阅读,Passage Two,7
already,adv.,★已经；早已,A 基础高频,"People who already value exercise may choose to live near parks, which means the park itself may not be the cause of their better health.",本来就重视锻炼的人可能选择住在公园附近，这意味着公园本身未必是他们更健康的原因。,What is less clear is the direction of the relationship.,"Researchers who tried to control for this factor still found a measurable benefit, though a smaller one.",仔细阅读：城市绿地对居民健康的影响,50. What have researchers found about green space?,关于绿地，研究人员发现了什么？,2023年12月,第1套,仔细阅读,Passage Two,7
already,adv.,★已经；早已,A 基础高频,"If millions of drivers charge their cars in the evening, when demand from households is already at its highest, the system could be overloaded in particular districts.",如果数百万车主都在傍晚充电，而那时家庭用电本来就处于高峰，某些区域的电网可能会过载。,"As electric vehicles become common, engineers have begun to worry about the network that supplies the electricity.","Fortunately, most vehicles stand unused for more than twenty hours a day, which means the time of charging can be shifted without much inconvenience.",段落匹配：电动汽车普及对电网的影响,36. Electric cars put extra pressure on the power grid.,电动汽车给电网带来了额外压力。,2022年6月,第1套,长篇阅读,Electric Cars and the Power Grid,7
already,adv.,★已经；早已,A 基础高频,"""Parking here is already a nightmare,"" one shouted at a protest rally.","""在这里停车早就已经是一场噩梦了，""一个人抗议集会时喊道。","Taking out those parking spots, as they argued at protests and in letters to the city council, would ruin stores and restaurants along Skillman.","But the bike lanes were a done deal, and soon they were in place.",段落匹配：纽约皇后区自行车道之争与沿街生意的变化（答案 36-40 EKCOG，41-45 DLJAH；正文来源 G，定位句来源 F）,,,2025年12月,第1套,长篇阅读,The Battle over Bike Lanes,7
ask,v.,★问；要求；请求,A 基础高频,"When a reserve is created, those residents may suddenly find that the activities which fed their families are now forbidden, while the animals they were asked to protect destroy their crops.",保护区一设立，这些居民可能突然发现，养活一家人的营生现在被禁止了，而他们被要求保护的动物却毁了他们的庄稼。,"Nature reserves are usually drawn on maps as if the land were empty, but in most cases people have lived on it for generations.","Unsurprisingly, resentment follows, and in several countries poaching increased after protection was introduced.",仔细阅读：野生动物保护区与当地居民的利益冲突,50. What does the author suggest?,作者的建议是什么？,2021年12月,第1套,仔细阅读,Passage Two,7
ask,v.,★问；要求；请求,A 基础高频,"A sensible approach is to treat employment data as information rather than as an instruction, and to ask how a subject can be combined with skills that employers value, such as writing clearly, analysing data or speaking another language.",明智的做法是把就业数据当作信息而不是指令，并思考如何把一个专业与雇主看重的能力结合起来，比如写得清楚、会分析数据或会说一门外语。,"That said, it would be dishonest to ignore the market.",The students who do best are rarely those who followed a formula.,仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,7
ask,v.,★问；要求；请求,A 基础高频,Researchers have found that the most effective remedy is not a stricter schedule but a smaller first step: students who were asked merely to open the document and write one sentence frequently continued for an hour.,研究人员发现，最有效的补救办法不是更严格的日程，而是更小的第一步：那些只被要求打开文档写一句话的学生，往往会接着写上整整一个小时。,"Unfortunately, the relief they obtain is temporary, and the anxiety returns with greater force as the deadline approaches.","Another useful strategy is to forgive oneself for previous delays, since guilt tends to produce further delay rather than renewed effort.",选词填空：拖延行为的心理原因,26. What do psychologists say about procrastination?,心理学家认为拖延是回避不愉快情绪的一种方式。,2021年12月,第1套,选词填空,Procrastination,7
bag,n.,★包；袋；提包,A 基础高频,"A reusable bag works only if you remember to carry it, and a paper bag costs more and tears easily when it rains.",可重复使用的袋子只有在你记得带上它时才起作用，而纸袋更贵，下雨时还容易破。,"It is convenience, habit and price.",Companies have discovered that appealing to conscience is less effective than changing the default option.,仔细阅读：塑料污染与消费者行为的改变,47. Why do many customers still use plastic bags?,为什么许多顾客仍在使用塑料袋？,2024年6月,第1套,仔细阅读,Passage One,7
bag,n.,★包；袋；提包,A 基础高频,"A single order typically arrives with a plastic container, a paper bag, a set of disposable chopsticks and several small packets of sauce, most of which are used for a few minutes and then thrown away.",一份订单通常送到一个塑料盒、一个纸袋、一套一次性筷子和几小包调料，其中大部分用上几分钟就被扔掉。,"The rapid growth of food delivery has created an enormous amount of packaging waste, and cities are struggling to deal with it.",Environmental groups estimate that the volume of this waste has increased several times over in the past five years.,段落匹配：外卖行业带来的包装垃圾问题,36. Food delivery has grown rapidly in recent years.,近年来外卖行业增长迅速。,2023年3月,第1套,长篇阅读,Food Delivery and Packaging Waste,7
bag,n.,★包；袋；提包,A 基础高频,A recent survey has measured the impact of the plastic bag ban that the city introduced one year ago.,最近的一项调查衡量了该市一年前实施的塑料袋禁令所产生的效果。,,Researchers questioned more than two thousand residents and found that a large proportion of them had gradually changed their shopping habits.,新闻：某市实施限塑令一年后的调查结果与居民反应,1. What is the news report mainly about?,这则新闻主要讲了什么？,2024年6月,第1套,听力,News Report One,7
begun,v.,★开始(begin 的过去分词),A 基础高频,"Some weather services have begun to experiment with clearer wording, and early results are encouraging.",一些气象机构已经开始尝试更清楚的表述，初步结果令人鼓舞。,"Forecasters have been slow to explain probability in ordinary language, and television presenters often simplify the information until the uncertainty disappears.","Trust, it seems, depends less on being right than on being understood.",仔细阅读：天气预报越来越准，人们却越来越不信,50. What is the passage mainly about?,这篇文章主要讲什么？,2023年3月,第1套,仔细阅读,Passage Two,7
begun,v.,★开始(begin 的过去分词),A 基础高频,"City authorities have begun to measure sound levels in the same way they measure air quality, and a few of them have introduced quiet zones where vehicles are restricted.",市政当局已经开始像测量空气质量那样测量噪音水平，其中一些还设立了限制车辆通行的安静区。,Residents who insist that they no longer notice the traffic often show the same physical signs of stress as those who complain.,Early results indicate that even a modest reduction in noise produces measurable health benefits within a few years.,选词填空：城市噪音对健康的影响,26. What is said about the noise level in big cities?,大城市的噪音水平常常超出被认为安全的范围。,2021年6月,第1套,选词填空,Noise in Cities,7
begun,v.,★开始(begin 的过去分词),A 基础高频,"As electric vehicles become common, engineers have begun to worry about the network that supplies the electricity.",随着电动汽车普及，工程师开始担心供电网络。,,"If millions of drivers charge their cars in the evening, when demand from households is already at its highest, the system could be overloaded in particular districts.",段落匹配：电动汽车普及对电网的影响,36. Electric cars put extra pressure on the power grid.,电动汽车给电网带来了额外压力。,2022年6月,第1套,长篇阅读,Electric Cars and the Power Grid,7
believe,v.,★相信；认为；信任；信仰,A 基础高频,The difference lies in what the child learns to believe.,差别在于孩子由此学会了相信什么。,"Pupils who were praised for the method they used, or for the effort they had made, behaved in the opposite way: they selected harder problems and persisted longer when the work became difficult.","Praise for intelligence teaches that ability is a fixed quantity that can be lost at any moment, so failure becomes a threat to identity.",仔细阅读：赞美的效果为什么常常适得其反,46. What is the main idea of the passage?,这篇文章的主旨是什么？,2022年6月,第1套,仔细阅读,Passage One,7
